commit	strategy	model_name	n_free_params	n_subjects	n_opt_steps	lr	noise_sigma	spectral_loss	free_energy	theta_map	wall_time	status
275fce4	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.2465209960938	-545.4653968209619	[0.5940947532653809, -7.526988338213414e-05]	24.151605394028593	ok
275fce4	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.3633422851562	-545.5822181100244	[0.5939122438430786, -7.525258843088523e-05]	23.710417555004824	ok
275fce4	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.53732299804688	-224.75619882291508	[-0.9999992251396179, 6.097866207710467e-05]	16.24615297600394	ok
275fce4	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.5430908203125	-224.7619666451807	[-0.9999992251396179, 6.098035009927116e-05]	16.34032139700139	ok
275fce4	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2081.12255859375	-2084.341434418618	[0.0, 5.4126649047248065e-05]	16.689643221034203	ok
275fce4	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2088.618408203125	-2091.837284027993	[0.0, -5.216725912760012e-05]	16.55233923596097	ok
275fce4	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1792.3577880859375	-1795.5766639108058	[0.0, -0.04800288751721382]	22.03290630003903	ok
275fce4	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1793.1585693359375	-1796.3774451608058	[0.0, 0.04788154363632202]	22.120271199964918	ok
9152d9f	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.2465209960938	-545.4653968209619	[0.5940947532653809, -7.526988338213414e-05]	24.881116217991803	ok
9152d9f	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.3633422851562	-545.5822181100244	[0.5939122438430786, -7.525258843088523e-05]	25.93265331396833	ok
9152d9f	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.53732299804688	-224.75619882291508	[-0.9999992251396179, 6.097866207710467e-05]	16.94536562997382	ok
9152d9f	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.5430908203125	-224.7619666451807	[-0.9999992251396179, 6.098035009927116e-05]	16.98141864000354	ok
9152d9f	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2081.12255859375	-2084.341434418618	[0.0, 5.4126649047248065e-05]	16.86140161100775	ok
9152d9f	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2088.618408203125	-2091.837284027993	[0.0, -5.216725912760012e-05]	16.683244275976904	ok
9152d9f	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1792.3577880859375	-1795.5766639108058	[0.0, -0.04800288751721382]	21.718894197023474	ok
9152d9f	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1793.1585693359375	-1796.3774451608058	[0.0, 0.04788154363632202]	21.673881408991292	ok
9152d9f	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.2465209960938	-545.4653968209619	[0.5940947532653809, -7.526988338213414e-05]	25.121746477962006	ok
9152d9f	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.3633422851562	-545.5822181100244	[0.5939122438430786, -7.525258843088523e-05]	24.01909955299925	ok
9152d9f	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.53732299804688	-224.75619882291508	[-0.9999992251396179, 6.097866207710467e-05]	16.372957432991825	ok
9152d9f	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.5430908203125	-224.7619666451807	[-0.9999992251396179, 6.098035009927116e-05]	16.528708258992992	ok
9152d9f	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2081.12255859375	-2084.341434418618	[0.0, 5.4126649047248065e-05]	16.563897983985953	ok
9152d9f	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2088.618408203125	-2091.837284027993	[0.0, -5.216725912760012e-05]	16.62491117598256	ok
9152d9f	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1792.3577880859375	-1795.5766639108058	[0.0, -0.04800288751721382]	22.646493371983524	ok
9152d9f	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1793.1585693359375	-1796.3774451608058	[0.0, 0.04788154363632202]	22.373306452005636	ok
9152d9f	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.2465209960938	-545.4653968209619	[0.5940947532653809, -7.526988338213414e-05]	24.88264267303748	ok
9152d9f	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.3633422851562	-545.5822181100244	[0.5939122438430786, -7.525258843088523e-05]	24.759380811010487	ok
9152d9f	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.53732299804688	-224.75619882291508	[-0.9999992251396179, 6.097866207710467e-05]	16.89686828799313	ok
9152d9f	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.5430908203125	-224.7619666451807	[-0.9999992251396179, 6.098035009927116e-05]	16.98101454495918	ok
9152d9f	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2081.12255859375	-2084.341434418618	[0.0, 5.4126649047248065e-05]	17.016852464003023	ok
9152d9f	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2088.618408203125	-2091.837284027993	[0.0, -5.216725912760012e-05]	17.043614463997073	ok
9152d9f	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1792.3577880859375	-1795.5766639108058	[0.0, -0.04800288751721382]	22.657037010998465	ok
9152d9f	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1793.1585693359375	-1796.3774451608058	[0.0, 0.04788154363632202]	22.778674376022536	ok
9152d9f	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.2465209960938	-545.4653968209619	[0.5940947532653809, -7.526988338213414e-05]	25.436255542968865	ok
9152d9f	baseline_adam_2params	liley	2	2	100	0.01	0.001	542.3633422851562	-545.5822181100244	[0.5939122438430786, -7.525258843088523e-05]	25.142697864968795	ok
9152d9f	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.53732299804688	-224.75619882291508	[-0.9999992251396179, 6.097866207710467e-05]	17.088101655011997	ok
9152d9f	baseline_adam_2params	cmc	2	2	100	0.01	0.001	221.5430908203125	-224.7619666451807	[-0.9999992251396179, 6.098035009927116e-05]	16.832688701048028	ok
9152d9f	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2081.12255859375	-2084.341434418618	[0.0, 5.4126649047248065e-05]	17.01762541604694	ok
9152d9f	baseline_adam_2params	rrw	2	2	100	0.01	0.001	2088.618408203125	-2091.837284027993	[0.0, -5.216725912760012e-05]	17.122448257985525	ok
9152d9f	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1792.3577880859375	-1795.5766639108058	[0.0, -0.04800288751721382]	23.172963138029445	ok
9152d9f	baseline_adam_2params	cbei	2	2	100	0.01	0.001	1793.1585693359375	-1796.3774451608058	[0.0, 0.04788154363632202]	22.81499664502917	ok
9152d9f	multi_param_cosine_lr_4params_cosine	liley	4	2	200	0.05	0.0005	18.4151611328125	-24.852912782548902	[0.003815548261627555, 3.6030726846547623e-07, 6.066946411920071e-07, 4.737140655517578]	44.35569304303499	ok
9152d9f	multi_param_cosine_lr_4params_cosine	liley	4	2	200	0.05	0.0005	18.41757583618164	-24.855327485918043	[0.0038204146549105644, 3.602469575980649e-07, 6.067370463824773e-07, 4.737330436706543]	44.789659801987	ok
9152d9f	multi_param_cosine_lr_4params_cosine	cmc	4	2	200	0.05	0.0005	16.12095069885254	-22.55870234858894	[-1.2164043188095093, -1.2163631916046143, 0.00015430623898282647, -5.786459951195866e-07]	36.32289712195052	ok
9152d9f	multi_param_cosine_lr_4params_cosine	cmc	4	2	200	0.05	0.0005	16.12388038635254	-22.56163203608894	[-1.2164088487625122, -1.2163689136505127, 0.00015437502588611096, -5.786310453004262e-07]	36.59569250000641	ok
9152d9f	multi_param_cosine_lr_4params_cosine	rrw	4	2	200	0.05	0.0005	2195.062255859375	-2201.5000075091116	[0.0, 0.0014077489031478763, -0.0035746456123888493, 2.985915422439575]	35.90423209400615	ok
9152d9f	multi_param_cosine_lr_4params_cosine	rrw	4	2	200	0.05	0.0005	2226.000732421875	-2232.4384840716116	[0.0, 9.54422489485296e-07, -7.786986202518165e-07, -3.5775861740112305]	35.393820954021066	ok
